horizon,band,month,n,mean_longshot_prob,observed_longshot_win,longshot_bias,relative_longshot_overpricing
final,0-2%,2026-02,4395,0.0031807058384288036,0.0020477815699658703,0.0011329242684629333,1.5532446844327323
final,0-2%,2026-03,11100,0.002973370760850905,0.0013513513513513514,0.0016220194094995538,2.20029436302967
final,0-2%,2026-04,11027,0.002709792053820264,0.000997551464586923,0.0017122405892333412,2.7164433615887322
final,0-2%,2026-05,283,0.0027024684010801053,0.0,0.0027024684010801053,
final,0-2%,2026-06,88,0.0027676245651406754,0.0,0.0027676245651406754,
final,0-2%,2026-12,139,0.0021950863220760336,0.0,0.0021950863220760336,
final,0-2%,2027-01,63,0.002320190335161069,0.0,0.002320190335161069,
final,0-10%,2026-02,5195,0.010273737080366146,0.007507218479307026,0.00276651860105912,1.368514464935952
final,0-10%,2026-03,12784,0.009015823965818967,0.006961827284105131,0.002053996681713836,1.2950370065059515
final,0-10%,2026-04,12443,0.008086755880179566,0.006027485333119023,0.002059270547060543,1.3416467122276579
final,0-10%,2026-05,304,0.005765886978891547,0.0,0.005765886978891547,
final,0-10%,2026-06,91,0.004480549812121952,0.0,0.004480549812121952,
final,0-10%,2026-12,150,0.004731167419201865,0.0,0.004731167419201865,
final,0-10%,2027-01,69,0.004044598347421802,0.0,0.004044598347421802,
final,10-20%,2026-02,422,0.1563878124954056,0.10426540284360189,0.0521224096518037,1.4999012925695718
final,10-20%,2026-03,944,0.15407582566266176,0.13135593220338984,0.022719893459271917,1.17296435020607
final,10-20%,2026-04,777,0.15490387358418345,0.10682110682110682,0.04808276676307663,1.4501242141555486
24h,0-2%,2026-02,2037,0.00415355674879403,0.0004909180166912126,0.003662638732102818,8.46079509729344
24h,0-2%,2026-03,5208,0.004172850928072837,0.0015360983102918587,0.0026367526177809783,2.7165259541754168
24h,0-2%,2026-04,6063,0.0035542158640840555,0.0009896091044037606,0.002564606759680295,3.5915351306569376
24h,0-2%,2026-05,283,0.0027024684010801053,0.0,0.0027024684010801053,
24h,0-2%,2026-06,88,0.0027676245651406754,0.0,0.0027676245651406754,
24h,0-2%,2026-12,139,0.0021950863220760336,0.0,0.0021950863220760336,
24h,0-2%,2027-01,63,0.002320190335161069,0.0,0.002320190335161069,
24h,0-10%,2026-02,2745,0.016072718106095667,0.007285974499089253,0.008786743607006414,2.2059805600616302
24h,0-10%,2026-03,6805,0.015123885249271109,0.010139603232916973,0.004984282016354136,1.4915657843665202
24h,0-10%,2026-04,7655,0.013213844174095013,0.008752449379490528,0.004461394794604485,1.5097310022790646
24h,0-10%,2026-05,304,0.005765886978891547,0.0,0.005765886978891547,
24h,0-10%,2026-06,91,0.004480549812121952,0.0,0.004480549812121952,
24h,0-10%,2026-12,150,0.004731167419201865,0.0,0.004731167419201865,
24h,0-10%,2027-01,69,0.004044598347421802,0.0,0.004044598347421802,
24h,10-20%,2026-02,327,0.15532907880835073,0.08256880733944955,0.07276027146890118,1.8812077322344698
24h,10-20%,2026-03,848,0.15134109571329687,0.11674528301886793,0.03459581269442895,1.29633585015026
24h,10-20%,2026-04,722,0.15526905181923353,0.09418282548476455,0.06108622633446899,1.648591991374803
