category,n_ladders,mean_curve_brier_final,mean_atm_brier_final,mean_abs_mean_proxy_error_final,mean_variance_proxy_final,mean_isotonic_l1_gap_final,mean_adjacent_arbitrage_gross_edge_final,share_with_any_monotonicity_violation_final,share_with_any_adjacent_arbitrage_final
Sports,859,0.22576888358232544,0.24048780220823116,1.1971750039288718,2.0703500790286924,0.0004211492188970317,0.0021137238911417373,0.02910360884749709,0.09080325960419092
Esports,153,0.008021405105335026,0.020909895465382123,0.24629042636870335,3.464748638183043,0.0077856890408196915,0.03516809660614389,0.11764705882352941,0.477124183006536
Tennis,43,0.02746590116413265,0.050399483414086794,0.10364210839270972,0.16534522048470196,0.028719107505203945,0.07449760586945083,0.16279069767441862,0.3953488372093023
Games,38,0.1388643124693497,0.14598376467081983,0.7366012025525831,2.0914878885802985,0.004528094646508559,0.019138658220560604,0.10526315789473684,0.18421052631578946
Soccer,9,0.1621086811797655,0.218438751122116,0.7052133545182824,0.9411991241674218,0.0,0.0,0.0,0.0
NCAA,7,0.2686730227549818,0.2502857462235392,1.2955058091388554,1.6332733051905441,0.0003419249854350405,0.001367699941740162,0.0,0.14285714285714285
Basketball,6,0.21088026066804,0.25039997596443403,1.383333443894898,2.5525665135677023,0.005170240927181269,0.014966389175701256,0.3333333333333333,0.3333333333333333
Dota 2,4,0.0003916909722222222,0.0014500000000000012,0.2623333333333324,4.760228222222622,0.0040138888888888846,0.02408333333333331,0.25,0.75
league of legends,3,0.04645567577086446,0.20083588043445957,0.37865148500588103,0.9409439505664446,0.06647386753646861,0.3380009635434788,0.6666666666666666,0.6666666666666666
MLS,3,0.12956943174088717,0.19443328814423266,0.3766665905875093,1.233833304159819,0.0,0.0,0.0,0.0
Serie B,2,0.1800822127621411,0.3184999998242314,0.9349999278204426,0.9755501367824362,0.0,0.0,0.0,0.0
Japan J League,2,0.3009668439848358,0.27317010647854656,1.0007387048384297,0.7145433592752513,0.0,0.0,0.0,0.0
Süper Lig,2,0.35354999181754587,0.3842,0.9600000043181836,0.920800006909094,0.0,0.0,0.0,0.0
Fifa Friendly,1,6.700000000000007e-05,0.00010000000000000018,0.0,0.019999999999999574,0.0,0.0,0.0,0.0
Chinese Super League,1,0.06320000000000002,0.10240000000000005,0.7800000000000002,1.3716000000000008,0.0,0.0,0.0,0.0
Australian A-League,1,0.13786666257398636,0.291600000278208,0.4599999551562468,0.5283999067249905,0.0,0.0,0.0,0.0
Ligue 1,1,0.1521333347333335,0.36,1.5000000070000006,1.6500000140000015,0.0,0.0,0.0,0.0
Eredivisie,1,0.16283334183336892,0.3364000000000001,0.5100000850003314,0.549900168300649,0.0,0.0,0.0,0.0
bundesliga,1,0.1677666666666667,0.3481000000000001,0.52,0.5695999999999994,0.0,0.0,0.0,0.0
La Liga,1,0.16886666821236343,0.34809999999999997,0.9500000000000002,0.7674999999999983,0.0,0.0,0.0,0.0
Scottish Premiership,1,0.16890000503022662,0.16809999462079972,0.9099999084396684,1.2019002319601242,0.0,0.0,0.0,0.0
Liga MX,1,0.17020000896002388,0.3481000000000001,0.5300000840002017,0.5691001629603853,0.0,0.0,0.0,0.0
NCAA Basketball,1,0.2867629870828911,0.24418917467727835,1.044154976403263,0.9422053832095116,0.0,0.0,0.0,0.0
MLB,1,0.28883366666666666,0.3481000000000001,0.5909999999999993,1.421718999999996,0.19633333333333333,0.589,1.0,1.0
Norway Eliteserien,1,0.30766664781455816,0.30250000000000005,1.3299999632940978,0.6611000609317941,0.0,0.0,0.0,0.0
La Liga 2,1,0.3770249827199982,0.22089999999999999,1.409999855999942,1.3218996860798526,0.0,0.0,0.0,0.0
